,NAME,CITY,SALARY,EDUCATION,AGE,MARITAL_STATUS,YEAR
0,Mohamed Youssef,Assiut,113181.0,Tourism Studies,25,Married,2019
1,Mariam Ali,Shubra El Kheima,92922.73140857393,Computer Science and Information Technology,34,Divorced,2019
2,Amir Salem,Alexandria,10996.0,Economics and Political Science,30,Married,2019
3,Mohsen El-Bakry,Suez,92922.73140857393,Architecture,40,Divorced,2019
4,Amir Osman,Zagazig,92922.73140857393,Education,53,Divorced,2019
5,Nadia Amin,Port Said,92922.73140857393,Pharmacy,26,Divorced,2019
6,Walid Salah,Ismailia,126839.0,Commerce,28,Widowed,2019
7,Nour Gamal,Port Said,110659.0,Public Relations and Advertising,38,Married,2019
8,Mervat El-Sayed,Suez,92922.73140857393,Civil Aviation,51,Divorced,2019
9,Ashraf Ragab,Asyut,118892.0,Commerce,41,Married,2019
10,Eman Ibrahim,Shubra El Kheima,28268.0,Applied Sciences,60,Married,2019
11,Soha Zaki,Beni Suef,69347.0,Civil Aviation,22,Widowed,2019
12,Youssef Soltan,Giza,70529.0,Pharmacy,58,Single,2019
13,Rania Moharram,Zagazig,121233.0,Education,43,Single,2019
14,Ali Nour,Assiut,38911.0,Architecture,48,Single,2019
15,Hanan Salem,Giza,99128.0,Education,41,Widowed,2019
16,Mohamed Youssef,Port Said,146895.0,Commerce,59,Married,2019
17,Samir Abdelaziz,Asyut,92922.73140857393,Arts,48,Divorced,2019
18,Magdy Saad,Assiut,145835.0,Science,28,Single,2019
19,Laila Fouad,Asyut,33424.0,Science,52,Married,2019
20,Hoda Abdullah,Cairo,92922.73140857393,Environmental Agriculture,28,Divorced,2019
21,Laila Salem,Alexandria,78442.0,Public Relations and Advertising,59,Widowed,2019
22,Laila Fawzy,Suez,92922.73140857393,Economics and Political Science,26,Divorced,2019
23,Nermine Ramadan,Luxor,55556.0,Nursing,56,Single,2019
24,Hassan Gamal,Tanta,92922.73140857393,Tourism Studies,31,Divorced,2019
25,Reem Abdelhak,Cairo,139659.0,Agriculture,54,Widowed,2019
26,Omar Salem,Aswan,92922.73140857393,Law,53,Divorced,2019
27,Fatma Ragab,Cairo,145051.0,Architecture,44,Married,2019
28,Fatma El-Gabry,Mansoura,92922.73140857393,Architecture,23,Divorced,2019
